TransactionID,id_01,id_12,id_31,DeviceType,DeviceInfo
2987004,0.0,NotFound,samsung browser 6.2,mobile,SAMSUNG SM-G892A Build/NRD90M
2987008,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987010,-5.0,NotFound,chrome 62.0,desktop,Windows
2987011,-5.0,NotFound,chrome 62.0,desktop,
2987016,0.0,NotFound,chrome 62.0,desktop,MacOS
2987017,-5.0,NotFound,chrome 62.0,desktop,Windows
2987022,-15.0,NotFound,,,
2987038,0.0,Found,chrome 62.0,mobile,
2987040,-10.0,NotFound,chrome 62.0,desktop,Windows
2987048,-5.0,NotFound,chrome 62.0,desktop,Windows
2987049,-5.0,NotFound,chrome 62.0,desktop,Windows
2987057,0.0,NotFound,chrome 62.0 for android,mobile,SM-G930V Build/NRD90M
2987066,-5.0,NotFound,chrome 62.0,desktop,Windows
2987069,0.0,Found,chrome 62.0,desktop,
2987070,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987072,0.0,NotFound,chrome 62.0 for android,mobile,BLADE A602 Build/MRA58K
2987074,-5.0,NotFound,chrome 62.0,desktop,Windows
2987084,-5.0,NotFound,chrome 62.0,desktop,Windows
2987093,-5.0,NotFound,edge 15.0,desktop,Windows
2987099,-10.0,Found,mobile safari generic,mobile,iOS Device
2987100,0.0,NotFound,chrome 62.0 for android,mobile,SM-G930V Build/NRD90M
2987101,0.0,NotFound,chrome 49.0,desktop,MacOS
2987104,0.0,Found,chrome 62.0 for android,mobile,SM-G930V Build/NRD90M
2987105,0.0,NotFound,chrome 62.0 for android,mobile,XT1635-02 Build/NPN26.118-22-2
2987108,-15.0,NotFound,,,
2987111,-5.0,NotFound,chrome 62.0,desktop,Windows
2987114,-5.0,NotFound,chrome 62.0,desktop,Windows
2987119,0.0,NotFound,chrome 61.0,desktop,MacOS
2987121,0.0,NotFound,chrome 62.0,desktop,MacOS
2987125,0.0,Found,chrome 62.0,desktop,MacOS
2987130,-10.0,NotFound,chrome 62.0,desktop,Windows
2987138,-5.0,NotFound,edge 16.0,desktop,Windows
2987141,-5.0,NotFound,safari generic,desktop,MacOS
2987144,-5.0,Found,safari generic,desktop,MacOS
2987145,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987148,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987156,-5.0,NotFound,chrome 62.0,desktop,Windows
2987167,0.0,NotFound,edge 14.0,desktop,Windows
2987173,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987183,0.0,NotFound,chrome 56.0 for android,mobile,Z970
2987188,-5.0,Found,chrome 62.0,mobile,
2987189,-5.0,NotFound,firefox 57.0,desktop,Windows
2987190,-20.0,NotFound,mobile safari 11.0,mobile,
2987192,-5.0,NotFound,firefox 57.0,desktop,Windows
2987196,-5.0,NotFound,chrome 62.0,desktop,Windows
2987197,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987198,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987199,-20.0,NotFound,mobile safari 11.0,mobile,
2987207,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987209,-5.0,NotFound,chrome 62.0,desktop,Windows
2987211,0.0,NotFound,chrome 62.0 for android,mobile,SM-N920V Build/NRD90M
2987236,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987240,0.0,NotFound,chrome 54.0 for android,mobile,Redmi Note 4 Build/MMB29M
2987243,0.0,NotFound,chrome 54.0 for android,mobile,Redmi Note 4 Build/MMB29M
2987245,0.0,NotFound,chrome 54.0 for android,mobile,Redmi Note 4 Build/MMB29M
2987248,-5.0,NotFound,mobile safari uiwebview,mobile,iOS Device
2987252,-5.0,NotFound,chrome 62.0,desktop,Windows
2987258,-5.0,NotFound,chrome 62.0,desktop,Windows
2987259,-20.0,NotFound,mobile safari 11.0,mobile,
2987262,-5.0,NotFound,chrome 62.0,desktop,Windows
2987265,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987266,-5.0,NotFound,chrome 62.0,desktop,Windows
2987270,0.0,Found,mobile safari 11.0,mobile,iOS Device
2987271,-5.0,NotFound,chrome 62.0,desktop,Windows
2987273,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987275,0.0,NotFound,chrome,desktop,MacOS
2987281,-5.0,NotFound,chrome 62.0,desktop,Windows
2987284,-5.0,NotFound,chrome 62.0,desktop,Windows
2987287,0.0,NotFound,safari generic,desktop,
2987288,-20.0,NotFound,chrome 62.0 for ios,mobile,
2987301,-15.0,NotFound,chrome 62.0 for android,mobile,Lenovo PB1-750M Build/S100
2987311,0.0,NotFound,safari generic,desktop,MacOS
2987316,-5.0,NotFound,firefox 57.0,desktop,Windows
2987319,-15.0,NotFound,,,
2987327,-5.0,NotFound,chrome 62.0,desktop,Windows
2987328,-5.0,NotFound,chrome 62.0,desktop,Windows
2987332,-5.0,NotFound,mobile safari generic,mobile,iOS Device
2987333,-5.0,NotFound,chrome 62.0,desktop,Windows
2987335,-5.0,Found,mobile safari generic,mobile,iOS Device
2987336,-5.0,Found,mobile safari generic,mobile,iOS Device
2987337,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987338,-5.0,Found,mobile safari generic,mobile,iOS Device
2987352,0.0,NotFound,chrome 62.0 for android,mobile,LT22i Build/6.2.A.1.100
2987355,-5.0,NotFound,safari generic,desktop,MacOS
2987361,-5.0,Found,safari generic,desktop,MacOS
