TransactionID,isFraud,TransactionAmt,ProductCD,card1,card4,addr1,P_emaildomain
2987000,0,68.5,W,13926,discover,315.0,
2987001,0,29.0,W,2755,mastercard,325.0,gmail.com
2987002,0,59.0,W,4663,visa,330.0,outlook.com
2987003,0,50.0,W,18132,mastercard,476.0,yahoo.com
2987004,0,50.0,H,4497,mastercard,420.0,gmail.com
2987005,0,49.0,W,5937,visa,272.0,gmail.com
2987006,0,159.0,W,12308,visa,126.0,yahoo.com
2987007,0,422.5,W,12695,visa,325.0,mail.com
2987008,0,15.0,H,2803,visa,337.0,anonymous.com
2987009,0,117.0,W,17399,mastercard,204.0,yahoo.com
2987010,0,75.887,C,16496,mastercard,,gmail.com
2987011,0,16.495,C,4461,mastercard,,hotmail.com
2987012,0,50.0,W,3786,visa,204.0,verizon.net
2987013,0,40.0,W,12866,visa,330.0,aol.com
2987014,0,10.5,W,11839,visa,226.0,yahoo.com
2987015,0,57.95,W,7055,visa,315.0,
2987016,0,30.0,H,1790,visa,170.0,aol.com
2987017,0,100.0,H,11492,mastercard,204.0,yahoo.com
2987018,0,47.95,W,4663,visa,184.0,gmail.com
2987019,0,186.0,W,7005,visa,264.0,gmail.com
2987020,0,39.0,W,7875,mastercard,299.0,gmail.com
2987021,0,159.95,W,11401,mastercard,204.0,gmail.com
2987022,0,50.0,H,1724,visa,299.0,gmail.com
2987023,0,107.95,W,2392,mastercard,126.0,gmail.com
2987024,0,73.95,W,10112,visa,264.0,gmail.com
2987025,0,107.95,W,15385,mastercard,441.0,gmail.com
2987026,0,184.0,W,17868,visa,472.0,me.com
2987027,0,47.95,W,11307,visa,337.0,yahoo.com
2987028,0,20.0,W,8431,mastercard,251.0,
2987029,0,36.99,W,12932,visa,204.0,gmail.com
2987030,0,35.0,W,13276,visa,126.0,gmail.com
2987031,0,363.89,W,6573,visa,315.0,yahoo.com
2987032,0,200.0,W,7835,visa,472.0,yahoo.com
2987033,0,40.0,W,8613,mastercard,264.0,yahoo.com
2987034,0,107.95,W,17359,visa,469.0,yahoo.com
2987035,0,107.95,W,9766,visa,226.0,yahoo.com
2987036,0,77.0,W,4806,visa,315.0,gmail.com
2987037,0,21.95,W,13249,visa,264.0,gmail.com
2987038,0,25.0,S,5463,american express,330.0,
2987039,0,39.95,W,12598,visa,299.0,yahoo.com
2987040,0,75.887,C,13329,visa,,gmail.com
2987041,0,774.0,W,9002,visa,264.0,gmail.com
2987042,0,117.0,W,13085,visa,330.0,gmail.com
2987043,0,49.0,W,10776,visa,420.0,gmail.com
2987044,0,39.5,W,9281,visa,472.0,gmail.com
2987045,0,36.95,W,16132,visa,299.0,yahoo.com
2987046,0,49.0,W,12544,visa,441.0,gmail.com
2987047,0,15.0,W,4208,visa,126.0,anonymous.com
2987048,0,42.294,C,15885,visa,,outlook.com
2987049,0,3.595,C,12730,mastercard,,anonymous.com
2987050,0,117.0,W,10045,visa,299.0,gmail.com
2987051,0,226.0,W,7835,visa,472.0,yahoo.com
2987052,0,117.0,W,7826,mastercard,126.0,gmail.com
2987053,0,130.95,W,18018,mastercard,264.0,yahoo.com
2987054,0,34.0,W,18370,visa,191.0,gmail.com
2987055,0,210.95,W,3670,visa,420.0,gmail.com
2987056,0,500.0,W,1955,visa,315.0,
2987057,0,50.0,H,11839,visa,204.0,gmail.com
2987058,0,380.21,W,16659,visa,299.0,
2987059,0,35.95,W,9785,visa,485.0,gmail.com
2987060,0,2454.0,W,2213,mastercard,184.0,hotmail.com
2987061,0,58.95,W,12544,visa,441.0,gmail.com
2987062,0,200.0,W,18132,mastercard,204.0,yahoo.com
2987063,0,80.0,W,17967,visa,184.0,yahoo.com
2987064,0,250.0,W,3278,visa,122.0,gmail.com
2987065,0,114.95,W,17188,visa,299.0,
2987066,0,300.0,H,15333,visa,315.0,anonymous.com
2987067,0,445.0,W,1240,visa,485.0,
2987068,0,3.081,C,14076,visa,,hotmail.com
2987069,0,20.0,S,12866,visa,330.0,
2987070,0,100.0,H,3682,visa,325.0,anonymous.com
2987071,0,59.0,W,1662,visa,472.0,gmail.com
2987072,0,6.767,C,13832,mastercard,,outlook.com
2987073,0,554.0,W,1955,visa,315.0,yahoo.com
2987074,0,27.793,C,15885,visa,,gmail.com
2987075,0,68.5,W,4806,visa,315.0,gmail.com
2987076,0,36.95,W,18132,mastercard,441.0,
2987077,0,280.0,W,3278,visa,122.0,gmail.com
2987078,0,300.0,W,14858,visa,220.0,
2987079,0,28.699,C,4504,mastercard,,hotmail.com
2987080,0,60.0,W,7207,visa,204.0,comcast.net
2987081,0,104.95,W,17188,visa,299.0,gmail.com
2987082,0,280.0,W,15066,mastercard,325.0,optonline.net
2987083,0,411.95,W,14695,mastercard,315.0,gmail.com
2987084,0,125.674,C,5583,visa,,anonymous.com
2987085,0,42.596,C,15885,visa,,anonymous.com
2987086,0,44.5,W,11815,mastercard,476.0,gmail.com
2987087,0,88.95,W,1549,visa,205.0,yahoo.com
2987088,0,140.0,W,18095,visa,387.0,gmail.com
2987089,0,318.95,W,17188,visa,299.0,gmail.com
2987090,0,77.821,C,15885,visa,,gmail.com
2987091,0,107.0,W,14165,mastercard,181.0,
2987092,0,117.0,W,6481,visa,337.0,cox.net
2987093,0,50.0,H,5220,visa,231.0,charter.net
2987094,0,527.0,W,5409,visa,315.0,yahoo.com
2987095,0,59.0,W,2538,visa,330.0,anonymous.com
2987096,0,108.5,W,15121,visa,420.0,gmail.com
2987097,0,21.5,W,2581,mastercard,436.0,gmail.com
2987098,0,159.0,W,6459,mastercard,325.0,hotmail.com
2987099,0,75.0,R,1214,visa,126.0,gmail.com
2987100,0,100.0,H,16659,visa,330.0,comcast.net
2987101,0,25.0,H,4523,visa,337.0,yahoo.com
2987102,0,42.95,W,4186,visa,325.0,
2987103,0,47.95,W,18370,visa,191.0,rocketmail.com
2987104,0,100.0,H,16659,visa,330.0,comcast.net
2987105,0,5.075,C,15885,visa,,gmail.com
2987106,0,92.0,W,12733,visa,327.0,gmail.com
2987107,0,226.0,W,9500,visa,204.0,aol.com
2987108,0,150.0,H,9515,visa,343.0,gmail.com
2987109,0,107.95,W,2704,mastercard,299.0,gmail.com
2987110,0,1153.95,W,1214,visa,337.0,hotmail.com
2987111,0,18.186,C,13832,mastercard,,hotmail.com
2987112,0,210.95,W,15497,visa,299.0,yahoo.com
2987113,0,11.782,C,15885,visa,,anonymous.com
2987114,0,4.433,C,12184,visa,,gmail.com
2987115,0,75.0,W,11465,visa,123.0,gmail.com
2987116,0,34.0,W,10520,mastercard,299.0,gmail.com
